Legend:

1-P =,Untitled 1 Process


Interval:,15,Seconds
DataPoint,LogDate,LogTime,1-P °C
519,9/8/2022,2:02:35 PM,350
520,9/8/2022,2:02:50 PM,353
521,9/8/2022,2:03:05 PM,358
522,9/8/2022,2:03:20 PM,361
523,9/8/2022,2:03:35 PM,364
524,9/8/2022,2:03:50 PM,368
525,9/8/2022,2:04:05 PM,373
526,9/8/2022,2:04:20 PM,376
527,9/8/2022,2:04:35 PM,381
528,9/8/2022,2:04:50 PM,384
529,9/8/2022,2:05:05 PM,389
530,9/8/2022,2:05:20 PM,392
531,9/8/2022,2:05:35 PM,396
532,9/8/2022,2:05:50 PM,400
533,9/8/2022,2:06:05 PM,403
534,9/8/2022,2:06:20 PM,406
535,9/8/2022,2:06:35 PM,409
536,9/8/2022,2:06:50 PM,412
537,9/8/2022,2:07:05 PM,413
538,9/8/2022,2:07:20 PM,415
539,9/8/2022,2:07:35 PM,417
540,9/8/2022,2:07:50 PM,419
541,9/8/2022,2:08:05 PM,421
542,9/8/2022,2:08:20 PM,422
543,9/8/2022,2:08:35 PM,424
544,9/8/2022,2:08:50 PM,425
545,9/8/2022,2:09:05 PM,426
546,9/8/2022,2:09:20 PM,428
547,9/8/2022,2:09:35 PM,429
548,9/8/2022,2:09:50 PM,429
549,9/8/2022,2:10:05 PM,430
550,9/8/2022,2:10:20 PM,431
551,9/8/2022,2:10:35 PM,432
552,9/8/2022,2:10:50 PM,432
553,9/8/2022,2:11:05 PM,433
554,9/8/2022,2:11:20 PM,433
555,9/8/2022,2:11:35 PM,434
556,9/8/2022,2:11:50 PM,434
557,9/8/2022,2:12:05 PM,434
558,9/8/2022,2:12:20 PM,435
559,9/8/2022,2:12:35 PM,435
560,9/8/2022,2:12:50 PM,435
561,9/8/2022,2:13:05 PM,435
562,9/8/2022,2:13:20 PM,436
563,9/8/2022,2:13:35 PM,436
564,9/8/2022,2:13:50 PM,436
565,9/8/2022,2:14:05 PM,436
566,9/8/2022,2:14:20 PM,436
567,9/8/2022,2:14:35 PM,437
568,9/8/2022,2:14:50 PM,437
569,9/8/2022,2:15:05 PM,437
570,9/8/2022,2:15:20 PM,437
571,9/8/2022,2:15:35 PM,437
572,9/8/2022,2:15:50 PM,437
573,9/8/2022,2:16:05 PM,437
574,9/8/2022,2:16:20 PM,437
575,9/8/2022,2:16:35 PM,437
576,9/8/2022,2:16:50 PM,437
577,9/8/2022,2:17:05 PM,437
578,9/8/2022,2:17:20 PM,437
579,9/8/2022,2:17:35 PM,437
580,9/8/2022,2:17:50 PM,437
581,9/8/2022,2:18:05 PM,437
582,9/8/2022,2:18:20 PM,437
583,9/8/2022,2:18:35 PM,437
584,9/8/2022,2:18:50 PM,437
585,9/8/2022,2:19:05 PM,437
586,9/8/2022,2:19:20 PM,437
587,9/8/2022,2:19:35 PM,437
588,9/8/2022,2:19:50 PM,437
589,9/8/2022,2:20:05 PM,437
590,9/8/2022,2:20:20 PM,437
591,9/8/2022,2:20:35 PM,437
592,9/8/2022,2:20:50 PM,437
593,9/8/2022,2:21:05 PM,437
594,9/8/2022,2:21:20 PM,437
595,9/8/2022,2:21:35 PM,437
596,9/8/2022,2:21:50 PM,437
597,9/8/2022,2:22:05 PM,437
598,9/8/2022,2:22:20 PM,437
599,9/8/2022,2:22:35 PM,437
600,9/8/2022,2:22:50 PM,437
601,9/8/2022,2:23:05 PM,436
602,9/8/2022,2:23:20 PM,436
603,9/8/2022,2:23:35 PM,436
604,9/8/2022,2:23:50 PM,436
605,9/8/2022,2:24:05 PM,436
606,9/8/2022,2:24:20 PM,436
607,9/8/2022,2:24:35 PM,436
608,9/8/2022,2:24:50 PM,436
609,9/8/2022,2:25:05 PM,436
610,9/8/2022,2:25:20 PM,436
611,9/8/2022,2:25:35 PM,436
612,9/8/2022,2:25:50 PM,436
613,9/8/2022,2:26:05 PM,436
614,9/8/2022,2:26:20 PM,436
615,9/8/2022,2:26:35 PM,436
616,9/8/2022,2:26:50 PM,436
617,9/8/2022,2:27:05 PM,436
618,9/8/2022,2:27:20 PM,435
619,9/8/2022,2:27:35 PM,435
620,9/8/2022,2:27:50 PM,435
621,9/8/2022,2:28:05 PM,435
622,9/8/2022,2:28:20 PM,435
623,9/8/2022,2:28:35 PM,435
624,9/8/2022,2:28:50 PM,435
625,9/8/2022,2:29:05 PM,435
626,9/8/2022,2:29:20 PM,435
627,9/8/2022,2:29:35 PM,435
628,9/8/2022,2:29:50 PM,435
629,9/8/2022,2:30:05 PM,435
630,9/8/2022,2:30:20 PM,435
631,9/8/2022,2:30:35 PM,435
632,9/8/2022,2:30:50 PM,435
633,9/8/2022,2:31:05 PM,434
634,9/8/2022,2:31:21 PM,434
635,9/8/2022,2:31:36 PM,434
636,9/8/2022,2:31:51 PM,434
637,9/8/2022,2:32:06 PM,434
638,9/8/2022,2:32:21 PM,434
639,9/8/2022,2:32:36 PM,434
640,9/8/2022,2:32:51 PM,434
641,9/8/2022,2:33:06 PM,434
642,9/8/2022,2:33:21 PM,434
643,9/8/2022,2:33:36 PM,434
644,9/8/2022,2:33:51 PM,434
645,9/8/2022,2:34:06 PM,434
646,9/8/2022,2:34:21 PM,434
647,9/8/2022,2:34:36 PM,434
648,9/8/2022,2:34:51 PM,434
649,9/8/2022,2:35:06 PM,434
650,9/8/2022,2:35:21 PM,434
651,9/8/2022,2:35:36 PM,434
652,9/8/2022,2:35:51 PM,433
653,9/8/2022,2:36:06 PM,434
654,9/8/2022,2:36:21 PM,433
655,9/8/2022,2:36:36 PM,433
656,9/8/2022,2:36:51 PM,433
657,9/8/2022,2:37:06 PM,433
658,9/8/2022,2:37:21 PM,433
659,9/8/2022,2:37:36 PM,433
660,9/8/2022,2:37:51 PM,433
661,9/8/2022,2:38:06 PM,433
662,9/8/2022,2:38:21 PM,433
663,9/8/2022,2:38:36 PM,433
664,9/8/2022,2:38:51 PM,433
665,9/8/2022,2:39:06 PM,433
666,9/8/2022,2:39:21 PM,433
667,9/8/2022,2:39:36 PM,433
668,9/8/2022,2:39:51 PM,433
669,9/8/2022,2:40:06 PM,433
670,9/8/2022,2:40:21 PM,433
671,9/8/2022,2:40:36 PM,433
672,9/8/2022,2:40:51 PM,433
673,9/8/2022,2:41:06 PM,433
674,9/8/2022,2:41:21 PM,433
675,9/8/2022,2:41:36 PM,434
676,9/8/2022,2:41:51 PM,435
677,9/8/2022,2:42:06 PM,437
678,9/8/2022,2:42:21 PM,439
679,9/8/2022,2:42:36 PM,442
680,9/8/2022,2:42:51 PM,445
681,9/8/2022,2:43:06 PM,448
682,9/8/2022,2:43:21 PM,453
683,9/8/2022,2:43:36 PM,456
684,9/8/2022,2:43:51 PM,461
685,9/8/2022,2:44:06 PM,464
686,9/8/2022,2:44:21 PM,470
687,9/8/2022,2:44:36 PM,473
